Region,Year,Mortality_pct,Z_Cancer_pct,Z_Infant_mortality_pct,Z_Circulatory_pct,Z_Disability_pct,Z_Unemployment_pct,PC1,PC2
East Kazakhstan+Abay,2011,1.1927803741994365,-0.8301967909308021,3.5444016473479394,-0.7096231060717425,-0.6264955766753785,1.2901560704508215,3.291961740199841,-0.5836879305906996
East Kazakhstan+Abay,2012,1.1673333046607317,-0.6384269725145643,2.8751126730493013,-0.10568214924479216,-0.1387381926503138,1.999343835352164,2.9382967840345815,-0.5814777832241235
East Kazakhstan+Abay,2013,1.0989420889081452,-0.28496887582581076,1.8288678396629245,0.11635007924194571,-0.03186092393114567,1.2901560704508215,1.734880302455184,-0.41127619336858107
East Kazakhstan+Abay,2014,1.0492775325088857,0.21137653654562888,0.9480220056721886,-0.008792336963528479,-0.20637326767130015,-0.12821945935186366,0.34003340155086226,-0.23670389652900348
East Kazakhstan+Abay,2015,1.051190068407256,0.30914154201273036,0.40566714718880903,0.1662076155787885,-0.2223009815840919,0.5809683055494789,0.33389495871837344,-0.5405427894343937
East Kazakhstan+Abay,2016,1.037521695621621,0.11737172359649242,0.30565844987981705,0.6194126208806854,-0.2246093459192799,0.2263744230988092,-0.03942831578131832,-0.43624805245553494
East Kazakhstan+Abay,2017,1.013552413411938,0.4933909753930382,-0.5521084539626904,0.9328503326516345,-0.243307097034296,-0.12821945935186366,-0.9906942221820881,-0.5193384945358079
East Kazakhstan+Abay,2018,1.0148546155541665,-0.2699281057539506,-0.27900778054198144,1.2447923183324783,-0.1675927468401547,-0.12821945935186366,-0.6579792339404674,-0.2264849803514491
East Kazakhstan+Abay,2019,1.028916887976166,0.12865230115038753,0.29027249644766445,1.2285055231291093,-0.1948314459953642,-0.12821945935186366,-0.535861053830342,-0.4164637510037572
East Kazakhstan+Abay,2020,1.1994769264243423,-1.405506246179516,-0.2982402223321722,0.9380022780731081,-0.40927849273425915,0.2263744230988092,0.20374906712215926,-0.043942554520308805
East Kazakhstan+Abay,2021,1.369412016597778,-0.025515592086195818,-0.41748136143135495,1.033562556052056,-0.3811164478449749,-0.12821945935186366,-0.7236078884620494,-0.4560089160091204
East Kazakhstan+Abay,2022,1.0405238169568338,0.6137171359679321,-0.9079086270812193,1.4897590135341632,-0.34510596421605383,0.003334871037337317,-1.4044137167933475,-0.7928748500447295
East Kazakhstan+Abay,2023,1.0024350286026338,1.1514246660369913,-0.6328847094814916,1.735556667674796,-0.3400275626786414,-0.514726791223095,-1.9095019466053922,-0.8824142316485832
East Kazakhstan+Abay,2024,1.0132370548019292,0.8205277244560323,-0.9136783596182764,1.923187196089113,-0.36865128043496415,-0.5161451667528975,-1.9900981017510866,-0.8059593491854541
Karaganda,2011,1.1347291152233705,-1.661199337401168,0.878785215227502,-1.5586969498881678,0.06624456031431297,1.6447499529014913,2.8361151455954383,0.4390876256771303
Karaganda,2012,1.148258907235732,-1.3566237434459663,1.2826664928215077,-1.1398936446586918,0.8256964265909139,0.9355621880001487,2.2539090101156662,1.0984602089747446
Karaganda,2013,1.0527034136913085,-1.3190218182663116,0.3133514265958934,-0.6406535141391104,1.0736147561900238,0.5809683055494789,1.289946961924706,1.337566361818978
Karaganda,2014,0.9942628013708532,-1.4205470162513782,0.10948754361987165,-1.2165080588296397,0.8263889358914706,0.2263744230988092,1.320784031154338,1.4031908090756315
Karaganda,2015,0.987358874873832,-0.7136308228738734,-0.03283252562754003,-1.5585307581003782,0.9064891783224677,1.6447499529014913,1.8738682861209306,0.7989711670900893
Karaganda,2016,0.9863446971064622,-0.7136308228738734,-0.22900343188748543,-1.3170540904422718,1.059995406612418,0.5809683055494789,1.054663971894671,1.2358596497396015
Karaganda,2017,0.9583125714612186,-0.7850744807152175,-0.31747266412236297,-0.7544948887749008,1.2802133641892819,-0.12821945935186366,0.36623567139604124,1.5749518328182783
Karaganda,2018,0.9623791321782756,-0.6722687051762538,-0.43286731486350755,0.20692460358720932,1.5140506713437476,-0.8374072242532062,-0.6054432215398208,1.7773798157377794
Karaganda,2019,0.9697997580034412,-0.5218610044576354,-0.10591580443026495,0.234013864996894,1.6839462864135302,-1.5465949891545456,-0.9278933581901242,2.080391820811024
Karaganda,2020,1.121446863275139,-2.1613049422905735,-0.2867007572580577,0.06682492648068258,1.6340856167734852,-0.8374072242532062,0.19553900942827854,2.480531563041965
Karaganda,2021,1.2753481624898797,-0.8753191011463889,-0.09822282771418864,-0.8882792779454275,1.7107233127017012,-1.192001106703876,-0.04737267764001473,2.340565363144942
Karaganda,2022,1.0110435026247482,2.5314153201303133,-0.38286296620901156,-0.12014083478247596,1.7481188149317335,-1.5465949891545456,-2.2856705657827123,1.0220490120079946
