Indicator,Exposed_mean_of_region_means,Comparison_mean_of_region_means,Difference_exposed_minus_comparison,Exposed_SD_across_regions,Comparison_SD_across_regions,Welch_t_region_means,Welch_p_region_means,N_regions_exposed,N_regions_comparison
Cancer_pct,0.29317857142857146,0.22587142857142858,0.06730714285714287,0.013108653085435058,0.07753063351123257,1.4826134040391095,0.269950464361062,3,3
Infant_mortality_pct,0.8715357142857143,0.9162380952380952,-0.04470238095238088,0.10513479564398293,0.14690880020690153,-0.4285939227035905,0.6924560469237471,3,3
Circulatory_pct,2.6672904761904763,2.472985714285714,0.1943047619047622,0.3989875059634901,0.27269120122308677,0.6963903131377864,0.5292485863440876,3,3
Disability_pct,4.186102380952381,3.9418023809523812,0.24429999999999952,0.502577594086954,0.8186925651247091,0.4404742008431818,0.6867169778742611,3,3
Unemployment_pct,4.836159523809523,4.885714285714286,-0.049554761904762934,0.10178725721470562,0.07734431367038454,-0.6714024780755286,0.5412195046930761,3,3
Mortality_pct,1.0522654904053244,0.9406909369801051,0.11157455342521927,0.03392347674827029,0.22863812616588078,0.8360815928151607,0.48786498185618404,3,3
