Project_Group,Year,Cancer_pct,Infant_mortality_pct,Circulatory_pct,Disability_pct,Unemployment_pct,Mortality_pct
Comparison-classified,2011,0.19793333333333332,1.3760000000000001,1.8657666666666668,3.941433333333333,5.333333333333333,1.0569149757165779
Comparison-classified,2012,0.22063333333333332,1.2573333333333334,2.1726,4.249099999999999,5.166666666666667,1.037592789376253
Comparison-classified,2013,0.22119999999999998,1.122,2.1892,4.283066666666667,5.1000000000000005,0.9668901232006277
Comparison-classified,2014,0.2415333333333333,0.983,2.1289333333333333,4.182766666666667,4.933333333333334,0.9245267384055751
Comparison-classified,2015,0.2406,0.8943333333333333,2.269,4.164700000000001,4.8999999999999995,0.9082875056320715
Comparison-classified,2016,0.22766666666666668,0.7879999999999999,2.3983000000000003,4.101733333333333,4.866666666666667,0.8977956846967787
Comparison-classified,2017,0.2263666666666667,0.859,2.3411666666666666,4.069566666666667,4.766666666666667,0.885780067764256
Comparison-classified,2018,0.22699999999999998,0.7639999999999999,2.4172,4.071,4.766666666666667,0.8727086162560825
Comparison-classified,2019,0.22703333333333334,0.7959999999999999,2.6986000000000003,4.0607,4.666666666666667,0.8774023649689676
Comparison-classified,2020,0.19976666666666665,0.8156666666666667,2.9989333333333335,3.9837333333333333,4.866666666666667,1.033438558630032
Comparison-classified,2021,0.21459999999999999,0.7473333333333333,2.8618,3.990466666666667,4.833333333333333,1.1625348380243026
Comparison-classified,2022,0.23493333333333333,0.8493333333333334,2.4882666666666666,3.3361,4.8,0.872497321889333
Comparison-classified,2023,0.24533333333333332,0.7876666666666666,3.0654000000000003,3.375033333333333,4.766666666666667,0.8327556076242261
Comparison-classified,2024,0.2376,0.7876666666666666,2.7266333333333335,3.375833333333333,4.633333333333333,0.8405479255363876
Exposed-classified,2011,0.26153333333333334,1.4113333333333333,1.9013333333333333,3.902533333333333,5.266666666666667,1.1414997110943652
Exposed-classified,2012,0.27826666666666666,1.2443333333333333,2.1265,4.1878,5.233333333333333,1.1329613889023673
Exposed-classified,2013,0.28186666666666665,1.0576666666666668,2.2615333333333334,4.257733333333333,5.066666666666666,1.0548192728844965
Exposed-classified,2014,0.2859333333333333,0.9510000000000001,2.1343666666666667,4.1380333333333335,4.833333333333333,1.0153484226807354
Exposed-classified,2015,0.2909333333333333,0.8450000000000001,2.210166666666667,4.137333333333333,5.066666666666666,1.0046935344683192
Exposed-classified,2016,0.2937,0.8540000000000001,2.3988,4.1444,4.8999999999999995,0.9977198617113446
Exposed-classified,2017,0.29846666666666666,0.7613333333333333,2.6607,4.1601333333333335,4.8,0.9765250487039728
Exposed-classified,2018,0.28606666666666664,0.7043333333333334,2.9961333333333333,4.217866666666667,4.733333333333333,0.9829816111949352
Exposed-classified,2019,0.3010333333333333,0.8210000000000001,3.0714,4.2423,4.633333333333334,0.9917223206300013
Exposed-classified,2020,0.2544666666666667,0.7176666666666667,3.0449,4.2026,4.766666666666667,1.1587054354249595
Exposed-classified,2021,0.2933333333333333,0.759,2.9257666666666666,4.2177,4.7,1.3372385668125055
Exposed-classified,2022,0.3318666666666667,0.7128333333333333,3.0013,4.2379,4.679033333333334,1.015025225235316
Exposed-classified,2023,0.32466666666666666,0.6846666666666666,3.2046666666666668,4.272333333333333,4.530333333333333,0.95491139920847
Exposed-classified,2024,0.3223666666666667,0.6773333333333333,3.4045,4.286766666666667,4.496866666666667,0.9675650667227517
