Region,Year,Observed_Mortality,Fitted_Before_PCA,Residual_Before_PCA,Fitted_After_PCA,Residual_After_PCA
East Kazakhstan+Abay,2011,1.1927803741994365,1.1922677573284841,0.0005126168709523871,1.175886429737277,0.016893944462159416
East Kazakhstan+Abay,2012,1.1673333046607317,1.1667401098310104,0.0005931948297213108,1.1717752714016036,-0.004441966740871939
East Kazakhstan+Abay,2013,1.0989420889081452,1.109085881741928,-0.010143792833782861,1.1187847370171302,-0.01984264810898506
East Kazakhstan+Abay,2014,1.0492775325088857,1.047984614882784,0.0012929176261016195,1.0538787794359854,-0.004601246927099734
East Kazakhstan+Abay,2015,1.051190068407256,1.0418021904874104,0.009387877919845522,1.0633485169910277,-0.012158448583771797
East Kazakhstan+Abay,2016,1.037521695621621,1.0590700918847753,-0.02154839626315419,1.0607584226984088,-0.0232367270767877
East Kazakhstan+Abay,2017,1.013552413411938,1.0145840997437725,-0.0010316863318344804,1.0167780898636596,-0.0032256764517215597
East Kazakhstan+Abay,2018,1.0148546155541665,1.079337063076629,-0.06448244752246257,1.06366211104731,-0.04880749549314345
East Kazakhstan+Abay,2019,1.028916887976166,1.0950907922029667,-0.06617390422680058,1.084268951586611,-0.05535206361044498
East Kazakhstan+Abay,2020,1.1994769264243423,1.1732704988963603,0.02620642752798208,1.1588821248984404,0.04059480152590189
East Kazakhstan+Abay,2021,1.369412016597778,1.103696253603714,0.26571576299406385,1.107520712626925,0.2618913039708528
East Kazakhstan+Abay,2022,1.0405238169568338,1.064605116608867,-0.024081299652033206,1.073688474049283,-0.03316465709244909
East Kazakhstan+Abay,2023,1.0024350286026338,1.055693953132455,-0.05325892452982117,1.0575810381627289,-0.05514600956009508
East Kazakhstan+Abay,2024,1.0132370548019292,1.0762254012108246,-0.06298834640889539,1.072640165115477,-0.05940311031354795
Karaganda,2011,1.1347291152233705,1.093568679982433,0.0411604352409376,1.0623085044494178,0.07242061077395268
Karaganda,2012,1.148258907235732,1.0852249028771592,0.06303400435857287,1.0615777913862072,0.08668111584952487
Karaganda,2013,1.0527034136913085,1.049310939304291,0.003392474387017508,1.025500307218219,0.027203106473089544
Karaganda,2014,0.9942628013708532,1.0590083125654883,-0.06474551119463512,1.0472717306021073,-0.05300892923125411
Karaganda,2015,0.987358874873832,1.0401593915938787,-0.05280051672004671,1.0837828115895174,-0.09642393671568539
Karaganda,2016,0.9863446971064622,1.0318743558428782,-0.04552965873641601,1.0621460261311941,-0.07580132902473191
Karaganda,2017,0.9583125714612186,1.035227275941853,-0.07691470448063442,1.0460889207135182,-0.0877763492522996
Karaganda,2018,0.9623791321782756,1.0287193903307992,-0.06634025815252353,1.0085358540550484,-0.04615672187677278
Karaganda,2019,0.9697997580034412,1.0364820312504948,-0.06668227324705356,1.014510053029753,-0.04471029502631185
Karaganda,2020,1.121446863275139,1.1377164055225402,-0.01626954224740107,1.1139964103099447,0.007450452965194421
Karaganda,2021,1.2753481624898797,1.0811430046419068,0.19420515784797288,1.1130078021261454,0.16234036036373434
Karaganda,2022,1.0110435026247482,0.8984074277434225,0.11263607488132565,0.9547609628861833,0.056282539738564896
Karaganda,2023,0.944085367734204,0.9515781670032919,-0.0074927992690878575,0.947556333341345,-0.0034709656071409967
Karaganda,2024,0.9351293124328952,0.9527821951010453,-0.017652882668150127,0.9401589718627597,-0.0050296594298644415
Pavlodar,2011,1.0969896438602886,1.1375911339606488,-0.04060149010036018,1.118377755206173,-0.021388111345884475
Pavlodar,2012,1.083291954810638,0.9891844474928064,0.09410750731783146,1.0301173384842712,0.053174616326366664
Pavlodar,2013,1.012812316054036,0.9856123883306369,0.027199927723399187,1.0285604641312944,-0.015748148077258328
Pavlodar,2014,1.0025049341624674,0.9907930918021848,0.011711842360282665,1.0114869887687483,-0.008982054606280876
Pavlodar,2015,0.97553166012387,1.0016495780595571,-0.026117917935687074,1.0112466678005039,-0.035715007676633825
Pavlodar,2016,0.9692931924059508,1.0036395872340838,-0.03434639482813295,1.0027948439411876,-0.033501651535236765
Pavlodar,2017,0.9577101612387616,1.0026754957689545,-0.04496533453019291,0.9915049071876945,-0.033794745948932836
Pavlodar,2018,0.9717110858523637,1.0217915710064795,-0.050080485154115895,1.0007653483145145,-0.029054262462150815
Pavlodar,2019,0.9764503159103964,0.9895250642790621,-0.013074748368665623,0.9673943351749301,0.009055980735466318
Pavlodar,2020,1.1551925165753971,1.1015853220959813,0.053607194479415865,1.0507468438895216,0.10444567268587557
Pavlodar,2021,1.3669555213498588,1.0404410302737837,0.3265144910760751,1.005797163130628,0.3611583582192308
Pavlodar,2022,0.9935083561243656,1.0430764054088477,-0.04956804928448211,1.0501725120252954,-0.05666415590092977
Pavlodar,2023,0.9182138012885724,1.050565597529023,-0.13235179624045046,1.0767457493347872,-0.15853194804621473
Pavlodar,2024,0.9543288329334304,1.0763635794484676,-0.1220347465150372,1.088783375300857,-0.1344545423674265
