Model,N,Parameters,R2,Adjusted_R2,RMSE,AIC,BIC
Before PCA - 5 original indicators,42,9,0.3112406050470613,0.14426863051301553,0.08873419775528257,-66.26639648590324,-50.62736992135293
After PCA - PC1 + PC2,42,6,0.2639262880679091,0.1616938280773409,0.09173137705533678,-69.47598936276961,-59.0499716530694
