Indicator,PC1_component_coefficient,PC2_component_coefficient
Cancer_pct,-0.4503944067666221,-0.38908905070829397
Infant_mortality_pct,0.5126874599861008,-0.026725580009736384
Circulatory_pct,-0.46472139695336256,-0.19332395974607736
Disability_pct,-0.08094676494027152,0.8381376995473874
Unemployment_pct,0.5583709261644654,-0.3287042700933053
