Region,Year,Population,Project_Group,Cancer_pct,Infant_mortality_pct,Circulatory_pct,Disability_pct,Unemployment_pct,Registered_deaths,Mortality_pct,Imputed,Imputation_note,Data_note
Pavlodar,2019,753853,Exposed-classified,0.3272,0.672,2.9996,3.7096,4.7,7361,0.9764503159103963,No,,original row from research(2).xlsx
Pavlodar,2020,752169,Exposed-classified,0.2719,0.562,3.1955,3.705,4.8,8689,1.1551925165753973,No,,original row from research(2).xlsx
Pavlodar,2021,751012,Exposed-classified,0.3176,0.668,3.3553,3.7049,4.8,10266,1.3669555213498588,No,,original row from research(2).xlsx
Pavlodar,2022,756511,Exposed-classified,0.3256,0.731,2.8452,3.7337,4.8,7516,0.9935083561243656,No,,original row from research(2).xlsx
Pavlodar,2023,754944,Exposed-classified,0.3268,0.743,2.7587,3.829,4.8,6932,0.9182138012885723,No,,original row from research(2).xlsx
Pavlodar,2024,753933,Exposed-classified,0.3205,0.777,2.9784,3.8915,4.7,7195,0.9543288329334305,No,,original row from research(2).xlsx
Karaganda,2011,1352217,Exposed-classified,0.249,1.1,1.7294,4.2148,5.3,15344,1.1347291152233703,No,,original row from research(2).xlsx
Karaganda,2012,1357969,Exposed-classified,0.2571,1.205,1.9814,4.5438,5.1,15593,1.148258907235732,No,,original row from research(2).xlsx
Karaganda,2013,1362777,Exposed-classified,0.2581,0.953,2.2818,4.6512,5.0,14346,1.0527034136913083,No,,original row from research(2).xlsx
Karaganda,2014,1369658,Exposed-classified,0.2554,0.9,1.9353,4.5441,4.9,13618,0.9942628013708531,No,,original row from research(2).xlsx
Karaganda,2015,1378121,Exposed-classified,0.2742,0.863,1.7295,4.5788,5.3,13607,0.9873588748738319,No,,original row from research(2).xlsx
Karaganda,2016,1384810,Exposed-classified,0.2742,0.812,1.8748,4.6453,5.0,13659,0.9863446971064622,No,,original row from research(2).xlsx
Karaganda,2017,1382743,Exposed-classified,0.2723,0.789,2.2133,4.7407,4.8,13251,0.9583125714612186,No,,original row from research(2).xlsx
Karaganda,2018,1380537,Exposed-classified,0.2753,0.759,2.7918,4.842,4.6,13286,0.9623791321782756,No,,original row from research(2).xlsx
Karaganda,2019,1378532,Exposed-classified,0.2793,0.844,2.8081,4.9156,4.4,13369,0.9697997580034413,No,,original row from research(2).xlsx
Karaganda,2020,1376882,Exposed-classified,0.2357,0.797,2.7075,4.894,4.6,15441,1.121446863275139,No,,original row from research(2).xlsx
Karaganda,2021,1375938,Exposed-classified,0.2699,0.846,2.1328,4.9272,4.5,17548,1.2753481624898797,No,,original row from research(2).xlsx
Karaganda,2022,1134966,Exposed-classified,0.3605,0.772,2.595,4.9434,4.4,11475,1.0110435026247482,No,,original row from research(2).xlsx
Karaganda,2023,1134855,Exposed-classified,0.3234,0.604,3.1437,4.9492,4.1,10714,0.9440853677342039,No,,original row from research(2).xlsx
Karaganda,2024,1135351,Exposed-classified,0.3316,0.621,3.4106,4.9424,4.1,10617,0.9351293124328952,No,,original row from research(2).xlsx
Akmola,2011,732024,Comparison-classified,0.2137,1.589,1.814,3.5925,5.5,8857,1.2099330076609511,No,,source row from official statistics tables
Akmola,2012,730140,Comparison-classified,0.2336,1.117,2.2301,3.8613,5.3,8651,1.1848412633193635,No,,source row from official statistics tables
Akmola,2013,731502,Comparison-classified,0.2484,1.206,2.2372,3.892,5.2,8057,1.1014323952634444,No,,source row from official statistics tables
Akmola,2014,734329,Comparison-classified,0.2618,0.929,1.9365,3.8134,4.9,7519,1.023927966892224,No,,source row from official statistics tables
Akmola,2015,735269,Comparison-classified,0.244,0.811,2.0363,3.8382,4.9,7445,1.0125545888647556,Yes,Unemployment_percent_of_population filled by within-region interpolation/nearest year,source row from official statistics tables
Akmola,2016,743108,Comparison-classified,0.2491,0.703,2.0565,3.8537,4.9,7366,0.9912421882149028,No,,source row from official statistics tables
Akmola,2017,733027,Comparison-classified,0.2547,0.769,1.9978,3.9318,4.8,7389,1.0080119831875223,No,,source row from official statistics tables
Akmola,2018,737600,Comparison-classified,0.2443,0.564,2.358,3.9588,4.8,7358,0.9975596529284165,No,,source row from official statistics tables
Akmola,2019,737244,Comparison-classified,0.2451,0.725,3.0997,3.9416,4.7,7301,0.9903098567095833,No,,source row from official statistics tables
Akmola,2020,735394,Comparison-classified,0.213,0.641,3.6479,3.916,4.9,8478,1.1528513966662768,No,,source row from official statistics tables
Akmola,2021,734265,Comparison-classified,0.2311,0.5,3.3251,3.9595,4.9,9402,1.2804641376069947,No,,source row from official statistics tables
Akmola,2022,785708,Comparison-classified,0.2446,0.511,2.547,3.6843,4.8,7171,0.912680028712957,No,,source row from official statistics tables
Akmola,2023,788013,Comparison-classified,0.2657,0.599,2.6261,3.7573,4.8,6882,0.8733358459822362,No,,source row from official statistics tables
Akmola,2024,787981,Comparison-classified,0.256,0.599,2.5298,3.7443,4.6,7058,0.8957068761810247,Yes,Infant mortality 2024 filled with 2023 nearest-year value because uploaded table ends at 2023,infant mortality 2024 not present in uploaded table; filled with 2023 nearest-year value
Almaty Region,2011,1152402,Comparison-classified,0.1212,1.214,2.3929,5.4598,5.1,8707,0.7555523159453038,No,,source row from official statistics tables
Almaty Region,2012,1180814,Comparison-classified,0.1364,1.17,2.6757,5.8929,5.0,8995,0.7617626484780837,No,,source row from official statistics tables
Almaty Region,2013,1208942,Comparison-classified,0.1372,0.941,2.4484,5.8848,4.9,8630,0.7138473144286492,No,,source row from official statistics tables
Almaty Region,2014,1237718,Comparison-classified,0.1693,0.857,2.6028,5.6784,4.9,8413,0.6797186435036091,No,,source row from official statistics tables
Almaty Region,2015,1261696,Comparison-classified,0.1825,0.815,2.8149,5.5456,4.85,8330,0.6602224307598661,Yes,Unemployment_percent_of_population filled by within-region interpolation/nearest year,source row from official statistics tables
Almaty Region,2016,1283444,Comparison-classified,0.1375,0.754,2.8043,5.3176,4.8,8358,0.6512165704152265,No,,source row from official statistics tables
Almaty Region,2017,1317005,Comparison-classified,0.1337,0.766,2.7243,5.1086,4.7,8360,0.6347735961518749,No,,source row from official statistics tables
Almaty Region,2018,1351025,Comparison-classified,0.1356,0.698,2.6521,5.0524,4.7,8242,0.6100553283617993,No,,source row from official statistics tables
Almaty Region,2019,1372863,Comparison-classified,0.138,0.713,2.628,5.0096,4.6,8430,0.6140452470494142,No,,source row from official statistics tables
Almaty Region,2020,1392113,Comparison-classified,0.1262,0.775,2.7515,4.8309,4.8,10148,0.7289638125640663,No,,source row from official statistics tables
Almaty Region,2021,1412527,Comparison-classified,0.1379,0.708,2.6476,4.7601,4.8,11415,0.8081261455533238,No,,source row from official statistics tables
Almaty Region,2022,1478496,Comparison-classified,0.1402,0.921,2.4324,2.9535,4.7,9488,0.6417332207865291,No,,source row from official statistics tables
Almaty Region,2023,1505896,Comparison-classified,0.1411,0.865,4.0378,2.9268,4.7,9330,0.6195646976949272,No,,source row from official statistics tables
Almaty Region,2024,1531167,Comparison-classified,0.1391,0.865,2.9135,2.8781,4.6,9475,0.618809052180461,Yes,Infant mortality 2024 filled with 2023 nearest-year value because uploaded table ends at 2023,infant mortality 2024 not present in uploaded table; filled with 2023 nearest-year value
Kostanay,2011,881055,Comparison-classified,0.2589,1.325,1.3904,2.772,5.4,10619,1.205259603543479,No,,source row from official statistics tables
Kostanay,2012,879028,Comparison-classified,0.2919,1.485,1.612,2.9931,5.2,10251,1.1661744563313114,No,,source row from official statistics tables
Kostanay,2013,879499,Comparison-classified,0.278,1.219,1.882,3.0724,5.2,9546,1.0853906599097896,No,,source row from official statistics tables
Kostanay,2014,880335,Comparison-classified,0.2935,1.163,1.8475,3.0565,5.0,9419,1.069933604820892,No,,source row from official statistics tables
Kostanay,2015,880917,Comparison-classified,0.2953,1.057,1.9558,3.1103,4.95,9268,1.0520854972715932,Yes,Unemployment_percent_of_population filled by within-region interpolation/nearest year,source row from official statistics tables
Kostanay,2016,883124,Comparison-classified,0.2964,0.907,2.3341,3.1339,4.9,9281,1.050928295460207,No,,source row from official statistics tables
Kostanay,2017,878415,Comparison-classified,0.2907,1.042,2.3014,3.1683,4.8,8912,1.0145546239533705,No,,source row from official statistics tables
Kostanay,2018,874904,Comparison-classified,0.3011,1.03,2.2415,3.2018,4.8,8841,1.0105108674780319,No,,source row from official statistics tables
Kostanay,2019,872110,Comparison-classified,0.298,0.95,2.3681,3.2309,4.7,8964,1.0278519911479056,No,,source row from official statistics tables
Kostanay,2020,867870,Comparison-classified,0.2601,1.031,2.5974,3.2043,4.9,10575,1.2185004666597532,No,,source row from official statistics tables
Kostanay,2021,863894,Comparison-classified,0.2748,1.034,2.6127,3.2518,4.8,12086,1.3990142309125888,No,,source row from official statistics tables
Kostanay,2022,835686,Comparison-classified,0.32,1.116,2.4854,3.3705,4.9,8884,1.063078716168513,No,,source row from official statistics tables
Kostanay,2023,832234,Comparison-classified,0.3292,0.899,2.5323,3.441,4.8,8367,1.0053662791955147,No,,source row from official statistics tables
Kostanay,2024,829984,Comparison-classified,0.3177,0.899,2.7366,3.5051,4.7,8359,1.007127848247677,Yes,Infant mortality 2024 filled with 2023 nearest-year value because uploaded table ends at 2023,infant mortality 2024 not present in uploaded table; filled with 2023 nearest-year value
